3448	3,00E+54	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	storage
2097	05STB001_1	05STB001	05STB001.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Westende	51.1595222	2.7691305	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2098	05STB003_1	05STB003	05STB003.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Veurne	51.0550052	2.6684668	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2099	05STB005_1	05STB005	05STB005.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Saintes	50.70615	4.15817	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2100	05STB011_1	05STB011	05STB011.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Gembloux	50.5742906	4.7016542	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2101	05STB012_1	05STB012	05STB012.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Gembloux	50.5742906	4.7016542	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2102	05STB013_1	05STB013	05STB013.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Gembloux	50.5742906	4.7016542	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2103	05STB015_1	05STB015	05STB015.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Gembloux	50.5742906	4.7016542	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2104	05STB017_1	05STB017	05STB017.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Gembloux	50.5742906	4.7016542	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
2105	05STB023_1	05STB023	05STB023.1	\N	\N	Ztritici	Syngenta	\N	Europe	Belgium	\N	Veurne	51.0550052	2.6684668	\N	\N	\N	2005	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	guido_gabriel_daniel_list
